method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,540,5.4,0.1787276786776136,524.0,0.1787276786776136,524.0,524.8057207074482,0.1118435592939474,0.8517244139639978,0.5239900024405849
gl6,0.01,5,545,5.45,0.1690660994321076,521.0,0.09018199322290142,676.0,675.0307496067362,0.06932137900652727,0.8904969292796286,0.4549892514593635
gl6,0.01,5,550,5.5,0.15929346042575138,513.0,0.08055890094842055,671.0,671.0308222378292,0.06728116526806556,0.888537059909486,0.45880485303384333
gl6,0.01,5,555,5.55,0.17729411926788508,510.0,0.17729411926788508,510.0,509.57217775348613,0.0994579467156377,0.8876280158546396,0.4605610768073608
gl6,0.01,5,560,5.6000000000000005,0.17841058340653407,507.0,0.059567882929152695,188.0,187.28999517018292,0.03442320160990642,0.8896316460535818,0.4566788087266532
gl6,0.01,5,565,5.65,0.18689683012385372,503.0,0.18689683012385372,503.0,503.2096812282141,0.1033466749370488,0.8700146829612575,0.493025812135453
gl6,0.01,5,570,5.7,0.19315093713940462,500.0,0.07685651849306614,504.0,500.2023786958953,0.1000030328311331,0.8839835409251424,0.4675180203729556
gl6,0.01,5,575,5.75,0.18327866562743667,497.0,0.18327866562743667,497.0,496.9749191666549,0.10208765638339913,0.8838065199550372,0.46785257858108104
gl6,0.01,5,580,5.8,0.1799498331683325,493.0,0.1799498331683325,493.0,493.95743706126905,0.10673054164782433,0.8588957460115013,0.5121504637148606
gl6,0.01,5,585,5.8500000000000005,0.1877166921534519,486.0,0.07645284103865872,689.0,690.4050277479014,0.06850182681759423,0.8474355475240626,0.5308982885568496
gl6,0.01,5,590,5.9,0.173497690424624,483.0,0.10020770155148252,443.0,443.35893697195274,0.07741776115032467,0.8492283580923017,0.5280257529816641
gl6,0.01,5,595,5.95,0.19335728145129366,479.0,0.0782231401383862,476.0,479.3168086680421,0.10538925774075276,0.8701805892516,0.4927329318096551
gl6,0.01,5,600,6.0,0.20169956907959036,476.0,0.1165380766443714,443.0,443.01485594127894,0.07685926733142917,0.8212744411899078,0.5705333401723379
