case,cell,time,q,q_gauge,hp_edge
h0.01_k5_max,109,1.09,-0.0012405918976337426,0.0012405918976337426,0.044474076667422154
h0.01_k5_max,110,1.1,0.0031816721219247203,0.0031816721219247203,0.0421805861927688
h0.01_k5_max,111,1.11,-0.011745430540320245,0.011745430540320245,0.04248715597199107
h0.01_k5_max,112,1.12,0.013900926763749197,0.013900926763749197,0.03982077713461628
h0.01_k5_max,113,1.1300000000000001,-0.02256689530998738,0.02256689530998738,0.03909197942375157
h0.01_k5_max,114,1.1400000000000001,0.024702889824502187,0.024702889824502187,0.035889651490764514
h0.01_k5_max,115,1.1500000000000001,-0.03287219409111171,0.03287219409111171,0.03399556843826562
h0.01_k5_max,116,1.16,0.03478903947692555,0.03478903947692555,0.030081031697716185
h0.01_k5_max,117,1.17,-0.04194063136608941,0.04194063136608941,0.02696457295504266
h0.01_k5_max,118,1.18,0.04359246773637017,0.04359246773637017,0.02519086411359438
h0.01_k5_max,119,1.19,-0.0495009307829405,0.0495009307829405,0.023652128860350716
h0.01_k5_max,120,1.2,0.05106227633187762,0.05106227633187762,0.021873230584832818
h0.02_k20_min,0,0.0,7.493227276202008e-05,7.493227276202008e-05,7.493227665318694e-05
h0.02_k20_min,1,0.02,-8.474570617406973e-05,8.474570617406973e-05,8.474982897847786e-05
h0.02_k20_min,2,0.04,9.584316645555179e-05,9.584316645555179e-05,9.583807331369555e-05
h0.02_k20_min,3,0.06,-0.00010839628276277635,0.00010839628276277635,0.0001084000359573849
h0.02_k20_min,4,0.08,0.0001225887507277819,0.0001225887507277819,0.000122581669054442
h0.02_k20_min,5,0.1,-0.00013864517890455923,0.00013864517890455923,0.00013864803191604468
h0.02_k20_min,6,0.12,0.00015679648953344685,0.00015679648953344685,0.00015677920271266527
h0.02_k20_min,7,0.14,-0.00017733454296838612,0.00017733454296838612,0.00017734174128992142
h0.02_k20_min,8,0.16,0.00020054933359082806,0.00020054933359082806,0.00020052960651837506
h0.02_k20_min,9,0.18,-0.0002268227149003664,0.0002268227149003664,0.00022685020751102663
h0.02_k20_min,10,0.2,0.00025651267978577696,0.00025651267978577696,0.0002564689163437123
h0.02_k20_min,11,0.22,-0.0002901200875904653,0.0002901200875904653,0.0002901630340744154
h0.02_k20_min,12,0.24,0.0003280898233136416,0.0003280898233136416,0.0003280246474926056
h0.02_k20_min,13,0.26,-0.00037108139060205547,0.00037108139060205547,0.0003711615062446487
h0.02_k20_min,14,0.28,0.0004196376558395754,0.0004196376558395754,0.000419543571925094
h0.02_k20_min,15,0.3,-0.0004746356766381733,0.0004746356766381733,0.00047477019282108046
h0.02_k20_min,16,0.32,0.0005367268427885377,0.0005367268427885377,0.0005365727850992525
h0.02_k20_min,17,0.34,-0.0006070859252198273,0.0006070859252198273,0.000607289939897455
h0.02_k20_min,18,0.36,0.0006864798406090282,0.0006864798406090282,0.0006862029738142162
h0.02_k20_min,19,0.38,-0.0007764934728135171,0.0007764934728135171,0.0007768199768811941
h0.02_k20_min,20,0.4,0.0008780026750186213,0.0008780026750186213,0.000877547779680836
h0.02_k20_min,21,0.42,-0.0009931677295214616,0.0009931677295214616,0.0009936772991311917
h0.02_k20_min,22,0.44,0.0011229351420730153,0.0011229351420730153,0.001122178839828206
h0.02_k20_min,23,0.46,-0.001270283390455596,0.001270283390455596,0.0012710739437475488
h0.02_k20_min,24,0.48,0.0014361485035976457,0.0014361485035976457,0.0014348923005913015
h0.02_k20_min,25,0.5,-0.001624677991707579,0.001624677991707579,0.0016258902393771956
h0.02_k20_min,26,0.52,0.0018366331442698498,0.0018366331442698498,0.0018345627630811687
h0.02_k20_min,27,0.54,-0.0020778469964532866,0.0020778469964532866,0.0020797061250963666
h0.02_k20_min,28,0.56,0.002348614187711885,0.002348614187711885,0.0023451753533611443
h0.02_k20_min,29,0.58,-0.002657206612742684,0.002657206612742684,0.002659896878561011
h0.02_k20_min,30,0.6,0.0030029580030845036,0.0030029580030845036,0.002997183959982295
h0.02_k20_min,31,0.62,-0.0033976559253257395,0.0033976559253257395,0.0034012008488012507
h0.02_k20_min,32,0.64,0.0038388927123127097,0.0038388927123127097,0.0038291593013629792
h0.02_k20_min,33,0.66,-0.004343436150376971,0.004343436150376971,0.004347060353888592
